,id,pool-id,user-id,amount,date,method
5363,0x8f6042f578aeebefa93f6b921041e04080e905b974b105b9bd066ffaeea0d3db:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x738726961dabef11514ec9b75e0665ee0050ebc4,7000000000000000000,2021-06-21 10:48:12,redeem-underlying
5364,0x33daa9388098faf9cd2fcd349e35568f9396ea49e259300191b583ebcc3d92b7:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x3f375ddb3e07262d48b3fa79489297ce573e35c4,2500000000000000000,2021-06-21 10:44:35,redeem-underlying
5365,0x58810b4caedc4870172739582c1219cce76f9695182e53f00eb7920387f3cec6:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,722367121667553886208,2021-06-21 10:23:47,redeem-underlying
5366,0x71ba90c756a24f78ea3728a71196f087837f10ddc5e87b02900f502a601560f9:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbcc4371cc40592794bf5b727c17cf7de37ac180a,8000982229289530457897,2021-06-21 09:09:08,redeem-underlying
5367,0xee6729212911e0a4ad7e2143903e7ff5b3e434183c0884a613ec0f218025e59e:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x136ec676a4a52e6a037c414cfae0f3b3154f3ff1,100801851,2021-06-21 07:59:20,redeem-underlying
5368,0x27d72181028e3c96fb1f3437e2d88ea333346c4ccf1fc7593e5d52bf3321dfec:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x84886ef87cdf0b14a67bfb6ccc96c78d7a6af499,9015078538,2021-06-21 03:29:18,redeem-underlying
5369,0xb0481f6ea27e99a6197e362f3d007d03de907fd75ce47b51966f800ef719fe0b:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x77c2401ca6ef5a13fe062102fd59ed4070a55c4d,55793867662581685262,2021-06-21 03:17:34,redeem-underlying
5370,0x08667ece95c7d232dc1824503337c71f981dfac13567df263dcf676037ffd8ec:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x8026eab461f812c820ccb8a1f4cf6dd34c905cd8,22317156897850914,2021-06-21 03:12:36,redeem-underlying
5371,0x033da4aee53baba50e31c2b3c8d856560f513472ef29ae49de7d72460e365639:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbcc4371cc40592794bf5b727c17cf7de37ac180a,151622929,2021-06-21 03:06:38,redeem-underlying
5372,0x098e0c0216042be33dcacd7670d5932948247afea3f4ef8857303254b06bf01b:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xc147deebfe852b23c7c58434c435d9f6b0cb90ed,1585452789010239239548,2021-06-21 02:45:53,redeem-underlying
5373,0x9934ee27238307fa5aa5588463c005e36ab1931f1d06f1014ac702ef8d75195a:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbcc4371cc40592794bf5b727c17cf7de37ac180a,12890372318011205197,2021-06-21 02:44:14,redeem-underlying
5374,0xcc0c933f353e81b61c09f4f495c9d3920a2d28f2df4c3889a929daddeb833777:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x1e95e20714ba7e5093fd649d0ab492eb04870188,50052510959511029934,2021-06-21 02:36:54,redeem-underlying
5375,0xbb5f3b9f89fbc885c2ff94127b82c331398d504b679ed38ded4335dce69fd0f3:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x1e95e20714ba7e5093fd649d0ab492eb04870188,79606982152295834470829,2021-06-21 02:33:09,redeem-underlying
5376,0x2cb66849250d38ba50e00c77833fb454e1509fc02c7032b549a71f8ca79ec0da:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x56cdbecf9306532ea4f3cef10847ba0f3f38e6be,1053599613,2021-06-21 02:30:00,redeem-underlying
5377,0x85dbbe5f8e49eb145320f149087ff03bf0e0f2e51e95615183e76ece157bd0ad:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,39861592152012076820,2021-06-21 01:54:40,redeem-underlying
5378,0x191b8c206785748d0a3f5ffd97a003710d5d79e26ba6525b942c439710690419:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x563354e87ae36a5a66c54acebe24fa8a187e3a32,36148221208735741098160,2021-06-21 01:40:45,redeem-underlying
5379,0x2a0f25866ac732725ebd6a3e0a7deec14b9288f4ef25b3795112707d5c125177:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x77c2401ca6ef5a13fe062102fd59ed4070a55c4d,167287394,2021-06-21 01:11:44,redeem-underlying
5380,0xfb1523551aef23f52679c40d5e5f319375f443b8aa4a00142b0c1c78ee6086c7:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,52832278,2021-06-21 00:57:14,redeem-underlying
5381,0x92d25e346f2b2a19d1f53efb8beaaa00acc5a0bd4e5cfbe3fedfd1bd616227ad:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbcc4371cc40592794bf5b727c17cf7de37ac180a,121930816799359105783,2021-06-21 00:38:29,redeem-underlying
5382,0x139a72323f99f5a7dfe2a7512907d2178f5f1dbb80bbc8b97db1ddc48170bf7e:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,22292711,2021-06-21 00:38:02,redeem-underlying
5383,0xec44b1b0672faee2f45e4875f987c94197ddd5c961ea82594c667ea0c3a0161c:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xf3dd72ac3c9833574491861793e8ffe1f07c8905,60777763350856495,2021-06-21 00:03:04,redeem-underlying
5384,0x9dffeeac90ad89b27c83d1dd25bdfad9ba8f3ccc69239f8c14807ad60df6fd6d:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xf3dd72ac3c9833574491861793e8ffe1f07c8905,129748121651765149337,2021-06-21 00:03:04,redeem-underlying
5385,0x0478235520f31b8ec578c888c3a8f699c43293ae937c4d73621dac7856a804e1:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xf3dd72ac3c9833574491861793e8ffe1f07c8905,146755010115128964904,2021-06-20 23:58:38,redeem-underlying
5386,0x68c3ed4f9625bae4030579d6e2a566cb71c7987f4fc106b5be279281a52ff74a:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xcbc191072bcb977fb2fe668723806754bcc0ee76,11482585000000000000,2021-06-20 23:36:07,redeem-underlying
5387,0xff824c5a4f30ea979a0b9768c8c91cd8992d148ab6db11c73620dfeb8f5ba951:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xcbc191072bcb977fb2fe668723806754bcc0ee76,1341256000000000000,2021-06-20 23:30:54,redeem-underlying
5388,0x79d59fedb2ac9d70e0b7341fe79d3f1ad86910532a017dfeb146de9bd4af5e40:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x62d7ae1fd0acfd6d6db9657c4c9b65578eb73748,1200000000000000000,2021-06-20 23:22:51,redeem-underlying
5389,0x90a4678d91e01ab6a7a2cc669a0a7820487d1131b53ec92c20717e159e2f8fda:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbcc4371cc40592794bf5b727c17cf7de37ac180a,20000200000000000000000,2021-06-20 23:20:11,redeem-underlying
5390,0xe0bd546eb135c8c42191350fdbd8f84079f6ef4b2588ee5c3d2188a3e3e0e6ad:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x4afa1603b07124cf5558e53d763473aa111a7484,2503851578498400350,2021-06-20 23:11:57,redeem-underlying
5391,0xe82140a630887741e00c0b471565c640c3716c172051d9335f2b379c1b95d2cc:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xfd8085c33259b66d43ec874b74005629602b6535,26135381556521145401203,2021-06-20 22:59:59,redeem-underlying
5392,0x8b9df89a6bfed257abe97ac677edb4ba64e634c873e1b6491fb87fcbd7c53f5c:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbcc4371cc40592794bf5b727c17cf7de37ac180a,7524473590697169695810,2021-06-20 20:39:42,redeem-underlying
5393,0xa74e320f6a892932d7a0fa6fe3f35f578e4ab5ae8cd45c47887b6aa27334f3db:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xf9b6a5216083e077514de7082b167dcd9f81f8b6,76914206237402356288,2021-06-20 19:34:27,redeem-underlying
5394,0x4ca74b28c6784d9261af348fae40f2271908334aaabd6be8db3e24b26d5f621f:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xb3c9669a5706477a2b237d98edb9b57678926f04,430877685,2021-06-20 19:01:44,redeem-underlying
5395,0x66412391b1b60d97b785bdfdecb9b14a8202ae7f3a6b7bf447606cf51249caa7:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x3729671f86e4dd43098719b423dcef125f564955,92587816306511518946,2021-06-20 18:30:50,redeem-underlying
5396,0xf501abaab6ff72b60197d3c7a98ab8248243788a3c9e6c3560cf75824bb3a5ff:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x9af271a2bf0bcd40eb132a4c596cb7d3398dd2fe,16568682083571506133,2021-06-20 18:14:54,redeem-underlying
