,id,pool-id,user-id,fee-liquidated,liquidated-collateral-for-free,date,method
108,0x2520ffdd126d2616de7aceb5ab5d57f8f9d6b3980c35a11ac2720914a75b25e4:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x14796e88e8eea7fe5c0de48a4bb74b9ef2526035,651,1,2022-01-24 13:34:29,origination-fee-liquidation
109,0xe2b87ae19ef924ec7d995aff55f319650dee61dcd40b4c874919d23c07e0a288:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x51b3e05a0cb08d4ce7d7a967aa2292af2cc5ddde,1000,468412741598,2022-01-24 13:13:13,origination-fee-liquidation
110,0x5851b4f7f71be5570443a8a380cc0880826277968ad7bdedb2134c233968c228:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x19654fbe6b0d05a68c3fadb833ce1fdc66f98b77,7556042199810421,3477039711369,2022-01-24 11:19:07,origination-fee-liquidation
111,0x45857187eced41a48f5a9d87f4927fa851e72d9eb66b56c2ac835c09bb840b4b:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x09cf25d2bf8691ea5db6c3ad4878cf8f8e1e0046,6553,2879541881929,2022-01-22 11:03:22,origination-fee-liquidation
112,0xf9e948779c536edfbb39c3243127365e58d6cdb00cd970e4612a0ef943811c91:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x0db0aa71e2bdb0e4ae0ea3cfb04e06d42ab3e66e,1736493697043,1823318381895,2022-01-22 10:50:37,origination-fee-liquidation
113,0xc03501250b3f4001a3013dae73d9f8e740aaa0ab1da81efb5f5e85bc8059f07f:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x19654fbe6b0d05a68c3fadb833ce1fdc66f98b77,5837,415793772653286,2022-01-22 10:43:46,origination-fee-liquidation
114,0xa0fbede436305818955c59a4d5b93d5d5217a0f1f548ee8bbf7a0884834182ac:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xe787deec0be77db98a1294193e2c1600c8a8687d,336000,15351732525342,2022-01-22 06:45:21,origination-fee-liquidation
115,0x5190250fb11ba7afccb9ed87cbc0305431214d498db2c299cd7c00da9aadca61:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xfa65f12e326da4af7895e5fc71f5b383cb8e6624,999900000000000,64911008940819,2022-01-22 06:45:21,origination-fee-liquidation
116,0x4092bac763f06a3ca23e7d17b20a6be06d29c975e14263d91c650e95cd387d7a:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xa2dcae09e138fe9d1808fb75a749fc36ca82b035,14175,5765832169957,2022-01-21 22:55:26,origination-fee-liquidation
117,0x6112cc4a9b166de8a3a20c05044b85e0d0184a4f25f8de659a17a918f1ce079d:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x19654fbe6b0d05a68c3fadb833ce1fdc66f98b77,14267,5653986382438,2022-01-21 22:42:31,origination-fee-liquidation
118,0xaf817c403ef26b9282398cda1a97dd1a2bb74cf99e2c5d766d175d8de7f2d6dc:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbb5bea6880ce3a0eb4e0ced19ace5e64a6ed960e,2842362582486867,989264508305,2022-01-10 15:15:06,origination-fee-liquidation
119,0x25e6e05244b80dc7de3ae92b79ea5f7ae7084241466055484b846eb3e9372d62:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x5a072f9e491d098e71beb4cc64a878955dceaa1f,900000000000000,309586497163,2022-01-08 19:06:00,origination-fee-liquidation
120,0x27b899e6c56b259d4e95e8fe43cc0a17cdd519724aed6e2d8fa6a1269ad3e871:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x3f375ddb3e07262d48b3fa79489297ce573e35c4,1718,566639769192,2022-01-07 05:34:03,origination-fee-liquidation
121,0xb1e2b27e74b14dfd2af8bff93b140712696d4adfae97dcb0b89c9752d8615297:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x335247c96c09eec2b86f88fa09a217777a3aaebb,694,1,2022-01-06 11:28:52,origination-fee-liquidation
122,0x2e965a504bb642c85b193735e70a81ec94fa95a026b048c5fefaaa93e6643a35:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x1ec0ae8b30c0347bc2f579a076ad3dba2960e560,1142,2,2022-01-06 00:10:06,origination-fee-liquidation
123,0xa06131b3674a28471e5794e0d1c1c430baa9566ca2fd499c35a1ee8011549613:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x13dd4c65252274a442428039ae815f3a13e84ff3,60432761957,18615145003716,2021-12-22 05:50:50,origination-fee-liquidation
124,0x26b9337c1c9efba54e5838dbd15e44029194155360efcdd4865579994e9fc2db:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x86fd9b8243abb944bca16e69344756fd2501cf45,231,65587540441,2021-12-15 18:47:23,origination-fee-liquidation
125,0x721db6d1e31e9e206579e2f806b7ff34a61232c460514db43d8b800ca585338a:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x8d195c2f33b4e946f4acade04ac538f240b2c658,3300000000000000,934142351527,2021-12-13 20:44:53,origination-fee-liquidation
126,0x32c5ae30e7d2bcb508a74bc6ba48fdb631268bd52fa83b8100d987a3dc51c5d6:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x8ed591ff208e9116d558b15c34bfd9c2562b41e4,584249,161978428523691,2021-12-13 17:27:49,origination-fee-liquidation
127,0x3add8c786910267215b607e95e6c2cc91fa9f37b08854ad852f4fffbdf430378:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x05fe314d744469227bd42c36ae435c5602307d14,97,5484812130983,2021-12-12 13:54:17,origination-fee-liquidation
128,0x3b32756b2c94e2b9f0ac238615db4a74aac25cdaace1625475085b56c5b3c0ed:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x8667dc23ffeb3467a3a15720ab2b9a013bc0db01,1092381451555595,63261944690189,2021-12-11 07:52:45,origination-fee-liquidation
129,0xaeacc71ea882bcf19af75ffdc72a3def964a9a9562d937ce5d027bbd6d427b56:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x454c24b6044ad7cbe1040577127316615857f7e1,5500,312342744933,2021-12-10 18:35:00,origination-fee-liquidation
130,0x9a4c5e44986134b354beeda37e29276183dc63929e80b186c2e69fbf2a3b6b9f:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xb50a98b218968d9d6ec895be6850ab2807b763dc,680390159769364,36961953488,2021-12-10 00:57:42,origination-fee-liquidation
131,0x38fd2f1191baa80520acf8e13b84a86d5c24381c283d4b6047d5684f3e6eaa89:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xb50a98b218968d9d6ec895be6850ab2807b763dc,716,36260867062,2021-12-04 12:13:49,origination-fee-liquidation
132,0x4f248bc42b911e5d3a45fb34a8861177cf0173ce05e812d514312489ca654554:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x63338aebc72fc70fb6a1327f7c1420cbdd9361e4,1900000000000000,109241437183877,2021-12-04 10:02:30,origination-fee-liquidation
133,0xd40dd8e8f5218ce0aa5f7a2411f7fc2f47e6d0d0874915c54d73de775fa32dd8:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xa83c02e8675b662c92bab635de1dd69d265f4344,850000000000000,49957019407329,2021-12-04 09:03:54,origination-fee-liquidation
135,0x0fafe94230fd81d6bc72ac433b3fcbcca2cc26913c9d16e3e62abbb375a9418a:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xa42e0bd7c9c7956eaad3eda50f02e0c5b418c29e,326249907641338103,18318107491602,2021-12-04 06:49:14,origination-fee-liquidation
134,0x0fba60f773fba75ebc6ff9e13ce573dbf215e0a7b05ab4d1e557241f93c54fb5:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xd5175bac40fc20d7949e3cc918436440ab6e93ef,5000,32467752003138,2021-12-04 06:49:14,origination-fee-liquidation
136,0xedcf625652abe9a5a7f90d873ebe379d96d2ec6e8aa41b365a545c6764ba3659:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xa42e0bd7c9c7956eaad3eda50f02e0c5b418c29e,50500,2852102790982,2021-12-04 06:41:58,origination-fee-liquidation
137,0xe899eb21831f63a624a3c4471d4210ca0a4b1f4822d665244faceb998e22ac45:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x19654fbe6b0d05a68c3fadb833ce1fdc66f98b77,37354575125227763,10377835779862,2021-12-04 06:41:58,origination-fee-liquidation
138,0xa50176c7d081be7eea774ce446f5e383f2625c5d642369fb2abeddc4700f40dc:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x13ecfdd96a4cdc95cffcfc1b6cb6c42d9fb673ae,3000,6,2021-12-04 06:41:58,origination-fee-liquidation
139,0xbecd2c80dd6d6771c78778a8421d2f3c6a2cd55938acd02e1882f244ccf8c0d3:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xdfff43a407bf3468a27618b1dc1e87021234c420,155405,8892872653252,2021-12-04 06:38:12,origination-fee-liquidation
140,0xa5699cd5ddc1fb2360c67fa19091244e18e7a74f132d2d6ab23c55d65eb84efd:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xdfff43a407bf3468a27618b1dc1e87021234c420,323534584179998440,18222098640260,2021-12-04 06:37:49,origination-fee-liquidation
141,0xe11bfe9cd765c66b64ccef0d4825ea3153b45bbaf6c2cb0050a2673b91df233b:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x19654fbe6b0d05a68c3fadb833ce1fdc66f98b77,10,602752087936,2021-12-04 06:27:00,origination-fee-liquidation
142,0xdecf993f1b06498ac44edc2983ce0474f09fbd89db22ffca74ac46c58a16aecd:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xe241ba6af0ef65aa7dfc4a8382e516deca5d3380,1000439768641388,1,2021-11-26 13:07:36,origination-fee-liquidation
143,0x3c1536b56add350736f7ab036622c4dccfca29f543c4a6634963266beb75c453:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x63338aebc72fc70fb6a1327f7c1420cbdd9361e4,400000000000000,18506587866321,2021-11-26 12:22:47,origination-fee-liquidation
144,0x67c3924516bc17d520de5c293981dffcab004c5e2628017f812285427bed2a7c:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x0e223a2a1951adf834b0dcffda3bc2bf373946c0,479585568773183,112167515200,2021-11-26 03:42:10,origination-fee-liquidation
145,0x0eb1fae69b56083285923a1e232cda0a4cf6e28bc9a85162c92c692c7d19ecd4:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x8a8b74c51defe76a57ee066d341fe4eed306d4ed,1300000000000,197907440212576,2021-10-11 18:37:52,origination-fee-liquidation
146,0x829f1a13360e518c4b203744bb3926f8e071f5aab397bbbfd0947da2b53a7e2e:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x8f749b149bc738b34606a94d5362839d2b56ea22,80249825531045,29563065987,2021-09-24 15:48:06,origination-fee-liquidation
147,0x83868599f4a2e1a2283ad73e3f2bbe5ac23ea06c1b4473f81c10b4a3429b8261:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x738726961dabef11514ec9b75e0665ee0050ebc4,717,2,2021-09-24 13:10:55,origination-fee-liquidation
148,0xb1c1d32e3e55c917ff423417c170f10e1e6d7efe6c0337802dcffac85eb3cbda:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x9cc74fc95f4abeca2398c27c7465542ea7f7639f,281,14044752340847,2021-09-22 06:32:50,origination-fee-liquidation
149,0x5d12c0dd8d131797b2b36dc1dbbb198b728208a4e0a4d625f6342247bcc1cac5:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xa54b5d98b33e9fb8e0a9c9a0f3754e695da1b188,86820,249,2021-09-21 23:22:58,origination-fee-liquidation
150,0xa86fc382fb62b2c8b2ea3431f92fccbfccb9691c975d54956453a46a139507c8:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x63338aebc72fc70fb6a1327f7c1420cbdd9361e4,3548343707319041,172829059258587,2021-09-21 02:26:47,origination-fee-liquidation
151,0xf903fa3be3c88e85f7cf2157c49c560d75454a5647bbb024fd9cba9beabbde4e:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xdbfdd975cfe231cbeefde1ec0bcb2cb28bcca063,631,218338380825,2021-09-20 13:59:37,origination-fee-liquidation
152,0xc21c0ad528561796bdb6080edee342c884babb793fb96116ecabf287b660349b:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x281302c016d9fa9bbed1980eeb82f3e5fdd1b3c1,614901701991515,202302937772,2021-09-18 06:53:24,origination-fee-liquidation
153,0xe5f3f19e9e89b3fef3eaed823f6400befb25ce063272618a26004fbea2853ec0:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xaeb62dc6daa270c3f5792eed875334089651b338,3701926636,8254531093088,2021-07-24 09:42:12,origination-fee-liquidation
154,0xe5a52cd6aed957df65c1da8255f52e9b6855d732e558a14fe3b5f166c5126577:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x4f7d7febce2896c44a667b8b785cdf32b01154f0,54,4413281221050,2021-07-21 03:55:12,origination-fee-liquidation
155,0x2bc9d426a56ad7c1a3813caf7180d81c7130183136b2a622eb1802797bd77990:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x3de6a79c8d6be555e13c0816c78141329842b386,313,24867559082665,2021-07-21 02:25:34,origination-fee-liquidation
